query_id,query,gold_document_id,gold_chunk_id,title,section,page_url,excerpt
q01,Что в Русском царстве было введено вместо Тиуна Огнищанского (Огневщика)?,1,0,Городничий (Русское царство),Lead,https://ru.wikipedia.org/wiki/Городничий_(Русское_царство),"Городничий — должность в Русском царстве, представитель областной администрации. Введена во время царствования Ивана IV. Должность городничего введена вместо Тиуна Огнищанского (Огневщика). Городничие имели больше полномочий, чем огнищане. Должность городничего существовала одновременно с должностью городового приказчика. Довольно трудно уяснить разницу между городничим и городовым приказчиком, так как в Московском государстве не было точного разграничения ведомств и должностей. Городничий в XVII веке, по приезде нового воеводы, осматривал с ним укрепления и наряд, перемеривал и перевешивал артиллерийские запасы, наблюдал за всем, что принадлежало к городским укреплениям, имел полицейскую власть (наблюдение за безопасностью от огня, охранение общественной тишины и спокойствия, преследование корчемства). Городничих бывало в городах по несколько человек; они назначались воеводами из местных дворян и детей боярских. Все указанные функции, исключая, как кажется, полицейских, были и у городовых приказчиков. С 1775 года (после «Учреждения для управления губерний Всероссийской империи») городничий назначался Сенатом в города, где не было обер-коменданта, а по Уставу благочиния 1782 года он назначался и в города, порученные обер-комендантам, в качестве помощника последнего."
q02,Какая историческая валюта обращалась на территории Российской восточной окраины в течение 1920 года?,3,0,Читинский рубль,Lead,https://ru.wikipedia.org/wiki/Читинский_рубль,"Читинский рубль (также известный в народе как «голубок» или же «воробей») — историческая валюта, имевшая хождение на территории Российской восточной окраины в течение 1920 года. За всё время существования валюты выпускались только две банкноты номиналами в 100 и 500 рублей. Фактически, валюта не имела какого либо официального названия и как правило называлась в народе воробьём или голубком из-за цвета банкнот."
q03,Какие номиналы имели банкноты читинского рубля?,3,2,Читинский рубль,Банкноты,https://ru.wikipedia.org/wiki/Читинский_рубль,"Банкноты В обращение поступили банкноты номиналов в 100 и 500 рублей, пусть и в изначальные планы также входили и номиналы 25 и 50 рублей. Боны подписывались кассиром и Временным управляющим Читинского отделения Е. Годзянским и печатались на светлой бумаге. Изображение Номинал Основныецвета Описание Лицевая сторона Оборотная сторона Лицевая сторона Оборотная сторона129px129px 100 рублей129px129px 500 рублейСиняя(серия А) Темно-зеленая (серия П или С) Светло-зеленая (серия С)"
q04,Какое учреждение в Русском царстве XVII века занималось поминовением лиц царского дома?,5,0,Панихидный приказ,Lead,https://ru.wikipedia.org/wiki/Панихидный_приказ,"Панихидный приказ — учреждение в Русском царстве в XVII веке. Предметом занятий этого приказа было поминовение лиц царского дома (и других лиц, имеющих государственное значение — например, погибших в больших сражениях), он посылал указы о занесении лиц в синодики по городам, монастырям и церквям."
q05,Какими годами в «Повести временных лет» датируются призвание варягов во главе с Рюриком и захват Киева Олегом?,7,0,Археология Древней Руси,Lead,https://ru.wikipedia.org/wiki/Археология_Древней_Руси,"В «Повести временных лет» призвание варягов во главе с Рюриком датируется 862 годом, а проникновение в Приднепровье и захват Олегом Киева 882 годом. Современные археологические исследования полностью подтверждают датировки летописных источников."
q06,Какое должностное лицо в Российской империи XVIII века принимало и докладывало прошения и жалобы?,9,0,Генерал-рекетмейстер,Lead,https://ru.wikipedia.org/wiki/Генерал-рекетмейстер,"thumb|160px|Иван Козлов, генерал-рекетмейстер Екатерины II Генерал-рекетмейстер — главный рекетмейстер; должностное лицо, принимавшее и докладывавшее прошения и жалобы в Российской империи XVIII века. В подчинении генерал-рекетмейстера состояла рекетмейстерская контора. Во второй половине века сходные функции выполнял также кабинет-секретарь. Пётр Великий, объявив указом юстиц-коллегию последней нормальной судебной инстанцией для всего государства, допустил как исключительную меру подачу жалоб сенатскому секретарю, для доклада царю. Задача эта оказалась для сенатского секретаря непосильной и потому, указом , было постановлено определить для приема челобитных на решения коллегий и канцелярий, им неподчинённых, «особого человека, персону знатную, а с ним быть секретарю Ивану Молчанову». Последний временно исполнял и обязанности «знатной персоны» и испросил себе инструкцию от сената. Инструкцией этой (ПСЗ № 3643), направленной вообще к искоренению как волокиты, так и сутяжничества, предписывалось Молчанову принимать челобитные «тогда только, когда будет написано, что вершено неправо и в противность закону», с указанием, в чем именно состоит неправость и противность указу. В начале 1722 года должность «знатной персоны» замещается В. К. Павловым и получает название рекетмейстера или генерал-рекетмейстера. Вместе с тем рекетмейстеру дан был наказ, который, в главном, сходится с инструкцией Молчанову. В том же году последовало несколько указов, усиливавших значение рекетмейстера и расширявших его власть; так, указом рекетмейстеру предоставлено в случаях, когда до сведения его дойдёт какое-либо вопиющее злоупотребление, возбуждать дело и при отсутствии челобитных и докладывать о том царю."
q07,"Какой паровоз-памятник в Уссурийске известен тем, что в его топке в 1920 году были сожжены Сергей Лазо, Всеволод Сибирцев и Алексей Луцкий?",11,0,Ел629,Lead,https://ru.wikipedia.org/wiki/Ел629,"{{DISPLAYTITLE:Ел629}} Ел629 — паровоз серии Е, локомотив-памятник, находящийся в городе Уссурийске Приморского края. Паровоз известен тем, что в его топке в мае 1920 года были сожжены революционеры, борцы за Советскую власть на Дальнем Востоке Сергей Лазо, Всеволод Сибирцев и Алексей Луцкий. thumb|left|Памятная доска на тендере паровоза."
q08,"Как назывались новгородские повольники, впервые упомянутые в летописи в 1360 году?",14,0,Ушкуйники,Lead,https://ru.wikipedia.org/wiki/Ушкуйники,"thumb|300пкс|Ушкуйники. Новгородская вольница. Картина С. М. Зейденберга мини|300пкс|Лицевой летописный свод. Ушкуйники захватывают Кострому (1375 год), «Великого Новаграда разбойницы, 70 ушкуев, пришедше взяша Кострому град разбоем». Ушку́йники (повольники. Первое упоминание в летописи было в 1360 году Летописи, по месту действия, дают ушкуйникам имя поморов или волжан. Вольные люди, входившие в вооружённую дружину, снаряжавшуюся новгородскими купцами и боярами, разъезжавшую на ушкуях и занимавшуюся торговым промыслом и набегами на Волге и Каме; повольники (на Руси XIV—XV веках), охраной приграничных территорий Великого Новгорода. Кроме того, новгородские ушкуйники промышляли на северных реках — в Новгородской и Вятской землях XIV—XV веках члены вооружённых дружин посадского войска новгородского посадника, формировавшихся для защиты северо-западных границ Руси. В свободное время от службы ушкуйники осуществляли торговые и промысловые экспедиции на Волгу и Каму. Другие названия ушкуйников — «повольники», «люди молодые», «ро́тники»."
q09,С какой целью Добровольческая армия проводила Армавирскую операцию 8—19 сентября 1918 года?,15,0,Армавирская операция (8—19 сентября 1918),Lead,https://ru.wikipedia.org/wiki/Армавирская_операция_(8—19_сентября_1918),Армавирская операция — боевые действия Добровольческой армии с 8 по 19 сентября 1918 года с целью овладения Армавиром в ходе Второго Кубанского похода.
q10,Какой принцип был одним из основных во внешней и внутренней политике Белого движения?,16,0,"Россия единая, великая и неделимая",Lead,"https://ru.wikipedia.org/wiki/Россия_единая,_великая_и_неделимая","thumb|200px|Плакат ОСВАГа. 1919 год «Росси́я Еди́ная, Вели́кая и Недели́мая» (другими словами «За Великую, Единую и Неделимую Россию») — один из основных принципов внешней и внутренней политики «Белого движения» (наряду с принципами «непредрешения государственного устройства» и верности союзникам по Антанте), сформулированный на начальном этапе Гражданской войны в России как ответная реакция на захват власти большевиками и провозглашение ими курса на интернационал, самоопределение наций и мировую революцию. Фактически единственный лозунг Белого движения."
